Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
16.09.2013	16.09.2013	VISA VARE	*8081 11.09 USD 46.16 MOLLIE STONES #9 Kurs: 6.0184	-277,81	50001685147	
16.09.2013	16.09.2013	VISA VARE	*4485 11.09 USD 8.90 WALGREENS #1327 Kurs: 6.0180	-53,56	50001685147	
13.09.2013	13.09.2013	VISA VARE	*8081 10.09 USD 25.60 MOLLIE STONES #9 Kurs: 6.0363	-154,53	50001685147	
13.09.2013	13.09.2013	VISA VARE	*8081 10.09 USD 13.30 WALGREENS #1327 Kurs: 6.0361	-80,28	50001685147	
12.09.2013	10.09.2013	VISA KONT	*8081 10.09 USD 803.00 4201 18TH ST Kurs: 6.0613	-4867,20	50001685147	
12.09.2013	12.09.2013	GEBYR	VISA KONTANTUTTAK UTLAND 1 TRANS(ER) TYPE 715	-30,00	90460000	
12.09.2013	12.09.2013	VISA VARE	*4485 09.09 USD 45.59 MOLLIE STONES #9 Kurs: 6.0612	-276,33	50001685147	
12.09.2013	12.09.2013	AVTALE	Til felleskonto	17330,00	50370028925	3700.15.71126
12.09.2013	12.09.2013	VISA VARE	*8081 10.09 USD 3.20 USPS 05680000534707224 Kurs: 6.0594	-19,39	50001685147	
11.09.2013	11.09.2013	VISA VARE	*4485 08.09 USD 243.69 DIDDAMS PARTY & TOY STORE Kurs: 6.1977	-1510,31	50001685147	
11.09.2013	11.09.2013	VISA VARE	*8081 08.09 USD 44.15 MOLLIE STONES #9 Kurs: 6.1977	-273,63	50001685147	
11.09.2013	11.09.2013	OVFNETTB	Nettbank til: ØYEN EIVOR SLEI Betalt: 11.09.13	-5000,00	50389019152	3700.15.71126
10.09.2013	10.09.2013	VISA VARE	*8081 06.09 USD 2.99 WALGREENS #1327 Kurs: 6.2308	-18,63	50001685147	
10.09.2013	10.09.2013	VISA VARE	*8081 07.09 USD 32.18 SWIRL ON CASTRO Kurs: 6.2318	-200,54	50001685147	
10.09.2013	10.09.2013	VISA VARE	*4485 06.09 USD 8.85 SAFEWAY STORE00015073 Kurs: 6.2316	-55,15	50001685147	
10.09.2013	07.09.2013	VISA KONT	*4485 07.09 USD 102.95 999 VALENCIA ST. Kurs: 6.2317	-641,55	50001685147	
10.09.2013	10.09.2013	VISA VARE	*8081 06.09 USD 23.02 THAI HOUSE EXPRESS @ CAST Kurs: 6.2320	-143,46	50001685147	
10.09.2013	10.09.2013	VISA VARE	*8081 06.09 USD 27.64 BUFFALO WHOLE FOODS Kurs: 6.2316	-172,24	50001685147	
10.09.2013	10.09.2013	VISA VARE	*4485 05.09 USD 97.50 MOLLIE STONES #9 Kurs: 6.2317	-607,59	50001685147	
10.09.2013	10.09.2013	GEBYR	VISA KONTANTUTTAK UTLAND 1 TRANS(ER) TYPE 715	-30,00	90460000	
09.09.2013	09.09.2013	OVFNETTB	Barnehage pluss litt	20000,00	50389099152	3705.09.65105
09.09.2013	09.09.2013	VISA VARE	*8081 05.09 NOK 20.00 EUROPARK ONLINE Kurs: 1.0000	-20,00	50001685147	
09.09.2013	09.09.2013	VISA VARE	*4485 15.08 NOK 24.00 OSLO UNIVERSITETSSYKEHUS Kurs: 1.0000	-24,00	50001685147	
05.09.2013	05.09.2013	AVTGI	FJELLINJEN AS	-729,50	93420191	1503.25.40934
04.09.2013	04.09.2013	VARER	04.09 POINT UTL 1 952 OSL LUFTHAVN GARDERMOEN	-68,00	17017734395	
04.09.2013	04.09.2013	VARER	03.09 REMA BJERKE TRONDHEIMSVE OSLO	-165,00	17017865908	
04.09.2013	04.09.2013	VARER	03.09 STATOIL BJERKE ØKERN TORGVE OSLO	-21,94	17017223594	
04.09.2013	04.09.2013	VARER	04.09 7102 DUTY FREE HOVEDPORTEN GARDERMOEN	-756,00	17017708750	
04.09.2013	04.09.2013	VARER	03.09 APOTEK 1,BJERKE TRONDHEIMSVN OSLO	-564,50	17017090216	
04.09.2013	04.09.2013	VARER	03.09 ÅRVOLL POST I BUTIKK OSLO	-9,50	17017862231	
03.09.2013	03.09.2013	VARER	02.09 REMA BJERKE TRONDHEIMSVE OSLO	-112,50	17017604657	
03.09.2013	03.09.2013	OVFNETTB	Overføring - San Francisco	10000,00	50389039152	3705.09.65091
